# 7: BIG_BENCH query19
13 0 0
R5 1 HK
M1 1 FL
M10 1 FL
R7 1 HK
M3 1 LA
R6 1 NY
R9 1 BA
M13 1 BA
R12 1 NY
M11 1 BA
M8 1 FL
M4 1 BA
R2 1 LA
12
R5 R6 530
M1 R2 1
M10 R9 1
M3 R2 1
R6 R7 1598
R9 M11 10
M13 R6 535
R12 R6 535
M11 R12 25
M8 R9 1
M4 R5 100
R2 M4 100
# 13: BIG_BENCH query26
4 1 11
M1 1 HK
M4 1 BA
R3 2 HK NY
R2 1 NY
3
M1 R2 1154
M4 R2 497
R2 R3 1227
# 12: BIG_BENCH query24
19 2 13
R17 3 LA FL HK
M18 1 LA
R16 2 HK BA
R15 1 FL
M19 1 BA
R10 3 BA FL LA
R4 3 NY LA HK
M1 1 LA
R7 1 FL
R9 3 FL LA NY
R14 1 BA
M13 1 NY
R8 1 FL
M11 1 NY
M12 1 BA
M5 1 FL
R3 1 NY
M6 1 FL
R2 1 FL
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 20: BIG_BENCH query9
9 3 16
R5 1 FL
R4 1 NY
M1 1 FL
M8 1 NY
M9 1 LA
M6 1 BA
R3 1 NY
M7 1 LA
R2 1 FL
8
R4 R5 224
M1 R2 1105
M8 R3 97
M9 R4 111
M6 R2 806
R3 R4 258
M7 R3 97
R2 R3 635
# 10: BIG_BENCH query21
16 4 22
M15 1 LA
M16 1 LA
R5 1 LA
M1 1 FL
M10 1 LA
R4 1 BA
R7 1 FL
R6 1 BA
M13 1 NY
R9 1 NY
M14 1 LA
R8 1 HK
M11 1 BA
M12 1 NY
R3 1 NY
R2 1 LA
15
M15 R6 26
M16 R7 148
R5 R6 26
M1 R2 904
M10 R2 853
R4 R5 915
R7 R8 293
R6 R7 186
M13 R5 1
M14 R6 27
R8 R9 1
M11 R3 1878
M12 R4 916
R3 R4 2734
R2 R3 2640
# 0: BIG_BENCH query10
2 5 35
M1 1 NY
R2 1 FL
1
M1 R2 56
# 14: BIG_BENCH query27
2 6 67
M1 1 LA
R2 1 LA
1
M1 R2 56
# 18: BIG_BENCH query6
11 7 70
R5 1 HK
R4 1 HK
M10 1 BA
M1 1 BA
R9 1 BA
R8 2 NY HK
M11 1 HK
R3 1 NY
M6 1 BA
M7 1 LA
R2 1 BA
10
R4 R5 207
M10 R8 393
M1 R2 1514
R9 R4 101
R8 R9 886
M11 R4 70
R3 R4 68
M6 R2 1516
M7 R8 643
R2 R3 3029
# 1: BIG_BENCH query11
7 8 71
M1 1 LA
R4 1 HK
R7 2 HK BA
M5 1 BA
M6 1 FL
R3 1 BA
R2 1 NY
6
M1 R2 9
R7 R3 111
M5 M6 90
M6 R7 223
R3 R4 33
R2 R3 13
# 14: BIG_BENCH query27
2 9 72
M1 1 LA
R2 1 NY
1
M1 R2 56
# 12: BIG_BENCH query24
19 10 74
R17 3 HK NY LA
M18 1 FL
R16 2 BA NY
R15 1 BA
M19 1 FL
R10 3 FL NY LA
R4 3 HK LA FL
M1 1 LA
R7 1 FL
R9 3 LA FL NY
R14 1 LA
M13 1 LA
R8 1 NY
M11 1 NY
M12 1 HK
M5 1 LA
R3 1 BA
M6 1 LA
R2 1 NY
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 15: BIG_BENCH query2
5 11 82
R5 1 NY
R4 1 LA
M1 1 FL
R3 1 NY
R2 1 LA
4
R4 R5 88
M1 R2 25669
R3 R4 3430
R2 R3 23890
# 18: BIG_BENCH query6
11 12 82
R5 1 NY
R4 1 FL
M10 1 HK
M1 1 LA
R9 1 HK
R8 2 NY FL
M11 1 HK
R3 1 HK
M6 1 HK
M7 1 NY
R2 1 NY
10
R4 R5 207
M10 R8 393
M1 R2 1514
R9 R4 101
