"CoflowID","StartTime","EndTime","CoflowCompletionTime"
"0:Reducer2","0.0","0.01","0.01"
"0:Reducer9","0.0","0.02","0.02"
"0:Map4","0.01","0.36","0.35"
"0:Map11","0.02","0.02","0.0"
"0:Reducer12","0.03","0.12","0.09"
"0:Reducer5","0.36","0.71","0.35"
"0:Reducer6","0.71","2.54","1.83"
"0:Reducer7","2.54","8.01","5.47"
"1:Reducer2","8.01","11.96","3.95"
"1:Reducer3","11.96","14.06","2.1"
"2:Reducer2","14.06","14.07","0.01"
"2:Reducer7","14.06","14.07","0.01"
"2:Reducer14","14.06","14.09","0.03"
"2:Reducer8","14.07","14.07","0.0"
"2:Reducer3","14.07","14.08","0.01"
"2:Reducer9","14.08","15.5","1.42"
"2:Reducer15","14.09","14.1","0.01"
"2:Reducer16","14.1","21.22","7.12"
"2:Reducer10","15.5","17.24","1.74"
"2:Reducer17","21.22","27.22","6.0"
"2:Reducer4","27.22","28.01","0.79"
"3:Reducer2","28.01","30.77","2.76"
"3:Reducer3","30.77","32.22","1.45"
"3:Reducer4","32.22","32.48","0.26"
"3:Reducer5","32.48","33.0","0.52"
"4:Reducer2","33.0","35.06","2.06"
"4:Reducer3","35.06","42.79","7.73"
"4:Reducer4","42.79","55.27","12.48"
"4:Reducer5","55.27","58.4","3.13"
"4:Reducer6","58.4","58.68","0.28"
"4:Reducer7","58.68","59.45","0.77"
"4:Reducer8","59.45","60.46","1.01"
"4:Reducer9","60.46","60.47","0.01"
"5:Reducer2","60.47","60.6","0.13"
"6:Reducer2","60.6","60.6","0.0"
"7:Reducer2","60.61","60.61","0.0"
"7:Reducer8","60.61","62.39","1.78"
"7:Reducer3","60.62","71.88","11.26"
"7:Reducer9","62.39","65.42","3.03"
"7:Reducer4","71.88","72.46","0.58"
"7:Reducer5","72.46","72.46","0.0"
"8:Reducer2","72.47","72.5","0.03"
"8:Map6","72.47","72.78","0.31"
"8:Reducer7","72.78","73.29","0.51"
"8:Reducer3","73.29","73.53","0.24"
"8:Reducer4","73.53","73.65","0.12"
"9:Reducer2","73.65","73.78","0.13"
"10:Reducer14","73.78","73.79","0.01"
"10:Reducer7","73.78","73.79","0.01"
"10:Reducer2","73.78","73.79","0.01"
"10:Reducer3","73.79","73.8","0.01"
"10:Reducer8","73.79","73.8","0.01"
"10:Reducer15","73.79","73.81","0.02"
"10:Reducer9","73.8","75.22","1.42"
"10:Reducer16","73.81","78.86","5.05"
"10:Reducer10","75.22","76.0","0.78"
"10:Reducer17","78.86","84.86","6.0"
"10:Reducer4","84.86","85.52","0.66"
"11:Reducer2","85.52","144.02","58.5"
"11:Reducer3","144.02","198.46","54.44"
