"CoflowID","StartTime","EndTime","CoflowCompletionTime"
"0:Map1","0.0","16.51","16.51"
"0:Reducer2","16.51","38.51","22.0"
"0:Map6","38.51","38.76","0.25"
"0:Reducer7","38.76","39.01","0.25"
"1:Map2","39.01","48.15","9.14"
"1:Reducer3","48.15","66.43","18.28"
"1:Reducer4","66.43","66.45","0.02"
"2:Map10","66.45","67.33","0.88"
"2:Map1","66.45","68.44","1.99"
"2:Reducer3","68.44","70.62","2.18"
"2:Reducer4","70.62","70.69","0.07"
"2:Reducer5","70.69","75.47","4.78"
"2:Reducer6","75.47","77.46","1.99"
"2:Reducer7","77.46","77.54","0.08"
"2:Reducer8","77.54","77.55","0.01"
"2:Reducer9","77.55","77.56","0.01"
"3:Reducer12","77.56","77.97","0.41"
"3:Reducer2","77.56","78.52","0.96"
"3:Reducer7","77.56","80.95","3.39"
"3:Reducer8","80.95","87.3","6.35"
"3:Reducer3","87.3","88.23","0.93"
"3:Reducer4","88.23","88.28","0.05"
"4:Map1","88.28","101.44","13.16"
"4:Reducer2","101.44","101.46","0.02"
"4:Reducer3","101.46","101.5","0.04"
"4:Reducer4","101.5","101.52","0.02"
"4:Reducer5","101.52","101.53","0.01"
"4:Reducer6","101.53","101.54","0.01"
"5:Reducer2","101.54","103.49","1.95"
"5:Reducer3","103.49","105.5","2.01"
"5:Reducer4","105.5","106.75","1.25"
"5:Reducer5","106.75","106.75","0.0"
"6:Map10","106.76","106.78","0.02"
"6:Map1","106.76","110.51","3.75"
"6:Map6","106.76","114.41","7.65"
"6:Reducer2","110.51","112.92","2.41"
"6:Reducer7","114.41","124.12","9.71"
"6:Reducer3","124.12","124.49","0.37"
"6:Reducer4","124.49","124.5","0.01"
"7:Map1","124.5","126.87","2.37"
"7:Reducer2","126.87","134.04","7.17"
"7:Reducer3","134.04","134.04","0.0"
"7:Reducer4","134.05","134.11","0.06"
"8:Map1","134.11","156.57","22.46"
"8:Reducer2","156.57","165.04","8.47"
"8:Reducer3","165.04","165.57","0.53"
"8:Reducer4","165.57","165.61","0.04"
"8:Reducer5","165.61","165.63","0.02"
"8:Reducer6","165.63","165.8","0.17"
"8:Reducer7","165.8","165.91","0.11"
"9:Map18","165.91","165.91","0.0"
"9:Map11","165.91","171.07","5.16"
"9:Map1","165.91","188.61","22.7"
"9:Reducer19","165.92","168.19","2.27"
"9:Reducer20","168.19","168.23","0.04"
"9:Reducer12","171.07","172.18","1.11"
"9:Reducer13","172.18","172.23","0.05"
"9:Reducer2","188.61","193.52","4.91"
"9:Reducer3","193.52","193.59","0.07"
"9:Reducer5","193.59","193.6","0.01"
"9:Reducer6","193.6","193.61","0.01"
"10:Map10","193.61","194.93","1.32"
"10:Map1","193.61","198.68","5.07"
"10:Reducer3","198.68","200.39","1.71"
"10:Reducer4","200.39","200.44","0.05"
"10:Reducer5","200.44","207.61","7.17"
"10:Reducer6","207.61","208.92","1.31"
"10:Reducer7","208.92","209.0","0.08"
"10:Reducer8","209.0","209.01","0.01"
"10:Reducer9","209.01","209.02","0.01"
"11:Map10","209.02","209.04","0.02"
"11:Map1","209.02","212.76","3.74"
"11:Map6","209.02","220.96","11.94"
"11:Reducer2","212.76","215.72","2.96"
"11:Reducer7","220.96","230.67","9.71"
"11:Reducer3","230.67","231.22","0.55"
"11:Reducer4","231.22","231.23","0.01"
"12:Map1","231.23","235.97","4.74"
"12:Reducer2","235.97","243.14","7.17"
"12:Reducer3","243.14","243.2","0.06"
"12:Reducer4","243.2","243.26","0.06"
"13:Map1","243.26","243.26","0.0"
"13:Map9","243.26","243.27","0.01"
"13:Map15","243.26","243.27","0.01"
"13:Map17","243.27","245.87","2.6"
"13:Map3","243.27","246.06","2.79"
"13:Map11","243.27","247.11","3.84"
"13:Reducer18","245.87","249.16","3.29"
"13:Reducer4","246.06","250.3","4.24"
"13:Reducer12","247.11","252.91","5.8"
"13:Reducer5","252.91","252.96","0.05"
"13:Reducer6","252.96","253.01","0.05"
"14:Reducer2","253.01","267.03","14.02"
"14:Reducer3","267.03","274.23","7.2"
"14:Reducer4","274.23","278.44","4.21"
"14:Reducer5","278.44","278.45","0.01"
"15:Reducer12","278.45","278.65","0.2"
"15:Reducer2","278.45","279.31","0.86"
"15:Reducer7","278.45","282.58","4.13"
"15:Reducer8","282.58","287.58","5.0"
"15:Reducer3","287.58","288.6","1.02"
"15:Reducer4","288.6","288.66","0.06"
"16:Map13","288.66","288.66","0.0"
"16:Map8","288.66","290.06","1.4"
"16:Map1","288.66","291.58","2.92"
"16:Reducer14","288.67","288.8","0.13"
"16:Reducer15","288.8","288.8","0.0"
"16:Reducer9","290.06","290.29","0.23"
"16:Reducer10","290.29","290.86","0.57"
"16:Reducer2","291.58","293.48","1.9"
"16:Reducer3","293.48","293.48","0.0"
"16:Reducer4","293.49","293.79","0.3"
"16:Reducer5","293.79","293.79","0.0"
"17:Map1","293.8","293.98","0.18"
"17:Reducer2","293.98","294.16","0.18"
"17:Reducer3","294.16","294.17","0.01"
"18:Reducer2","294.17","295.51","1.34"
"18:Reducer3","295.51","296.88","1.37"
"18:Reducer4","296.88","298.26","1.38"
"18:Reducer5","298.26","298.28","0.02"
"19:Reducer2","298.28","300.29","2.01"
"19:Reducer3","300.29","301.39","1.1"
"19:Reducer4","301.39","302.31","0.92"
"19:Reducer5","302.31","302.32","0.01"
"20:Map2","302.32","315.05","12.73"
"20:Reducer3","315.05","315.05","0.0"
"20:Reducer4","315.06","315.08","0.02"
"21:Reducer2","315.08","319.57","4.49"
"21:Reducer3","319.57","322.34","2.77"
"21:Reducer4","322.34","322.34","0.0"
"21:Reducer5","322.35","322.36","0.01"
"22:Map10","322.36","323.68","1.32"
"22:Map1","322.36","326.18","3.82"
"22:Reducer3","326.18","327.62","1.44"
"22:Reducer4","327.62","327.67","0.05"
"22:Reducer5","327.67","330.25","2.58"
"22:Reducer6","330.25","332.24","1.99"
"22:Reducer7","332.24","332.32","0.08"
"22:Reducer8","332.32","332.33","0.01"
"22:Reducer9","332.33","332.33","0.0"
"23:Map2","332.34","340.83","8.49"
"23:Reducer3","340.83","340.83","0.0"
"23:Reducer4","340.84","340.86","0.02"
"24:Map1","340.86","367.88","27.02"
"24:Reducer2","367.88","394.9","27.02"
"24:Reducer3","394.9","394.9","0.0"
"25:Map1","394.91","395.03","0.12"
"25:Reducer2","395.03","395.15","0.12"
"25:Reducer3","395.15","395.16","0.01"
"26:Map2","395.16","413.43","18.27"
"26:Reducer3","413.43","425.62","12.19"
"26:Reducer4","425.62","425.63","0.01"
"27:Map1","425.63","428.36","2.73"
"27:Reducer2","428.36","434.49","6.13"
"27:Map6","434.49","434.66","0.17"
"27:Reducer7","434.66","434.66","0.0"
"28:Map1","434.67","439.05","4.38"
"28:Map8","434.67","441.38","6.71"
"28:Map6","434.67","443.74","9.07"
"28:Reducer3","443.74","450.2","6.46"
"28:Reducer4","450.2","450.25","0.05"
"29:Map2","450.25","459.39","9.14"
"29:Reducer3","459.39","477.67","18.28"
"29:Reducer4","477.67","477.69","0.02"
"30:Map2","477.69","486.03","8.34"
"30:Reducer3","486.03","490.21","4.18"
"30:Reducer4","490.21","490.22","0.01"
"30:Reducer5","490.22","490.23","0.01"
"30:Reducer6","490.23","490.23","0.0"
"31:Reducer2","490.24","493.17","2.93"
"31:Reducer3","493.17","494.51","1.34"
"31:Reducer4","494.51","495.35","0.84"
"31:Reducer5","495.35","495.36","0.01"
"32:Reducer2","495.36","503.97","8.61"
"32:Reducer3","503.97","508.37","4.4"
"32:Reducer4","508.37","511.18","2.81"
"32:Reducer5","511.18","511.19","0.01"
"33:Map11","511.19","517.78","6.59"
"33:Map18","511.19","523.51","12.32"
"33:Map1","511.19","534.05","22.86"
"33:Reducer12","517.78","519.47","1.69"
"33:Reducer13","519.47","519.54","0.07"
"33:Reducer19","523.51","525.03","1.52"
"33:Reducer20","525.03","525.07","0.04"
"33:Reducer2","534.05","537.36","3.31"
"33:Reducer3","537.36","537.47","0.11"
"33:Reducer5","537.47","537.48","0.01"
"33:Reducer6","537.48","537.49","0.01"
"34:Reducer2","537.49","539.63","2.14"
"34:Reducer3","539.63","543.67","4.04"
"34:Reducer4","543.67","543.67","0.0"
"35:Map28","543.68","545.8","2.12"
"35:Map23","543.68","545.8","2.12"
"35:Map18","543.68","548.16","4.48"
"35:Map13","543.68","554.78","11.1"
"35:Map8","543.68","559.8","16.12"
"35:Map1","543.68","560.87","17.19"
"35:Reducer29","545.8","546.54","0.74"
"35:Reducer24","545.8","547.44","1.64"
"35:Reducer30","546.54","546.58","0.04"
"35:Reducer25","547.44","547.44","0.0"
"35:Reducer19","548.16","549.4","1.24"
"35:Reducer20","549.4","549.45","0.05"
"35:Reducer14","554.78","565.38","10.6"
"35:Reducer9","559.8","565.93","6.13"
"35:Reducer2","560.87","567.77","6.9"
"35:Reducer15","565.38","565.51","0.13"
"35:Reducer10","565.93","565.93","0.0"
"35:Reducer3","567.77","567.86","0.09"
"35:Reducer4","567.86","567.9","0.04"
"35:Reducer5","567.9","567.95","0.05"
"36:Map2","567.95","569.37","1.42"
"36:Reducer3","569.37","569.37","0.0"
"36:Reducer4","569.38","569.39","0.01"
"36:Reducer5","569.39","569.4","0.01"
"37:Map10","569.4","569.84","0.44"
"37:Map1","569.4","571.42","2.02"
"37:Reducer3","571.42","571.45","0.03"
"37:Reducer4","571.45","571.45","0.0"
"37:Reducer5","571.46","575.33","3.87"
"37:Reducer6","575.33","577.28","1.95"
"37:Reducer7","577.28","577.36","0.08"
"37:Reducer8","577.36","577.37","0.01"
"37:Reducer9","577.37","577.38","0.01"
"38:Map1","577.38","577.38","0.0"
"38:Map11","577.38","581.77","4.39"
"38:Map18","577.38","589.35","11.97"
"38:Reducer2","577.39","585.66","8.27"
"38:Reducer12","581.77","582.9","1.13"
"38:Reducer13","582.9","582.95","0.05"
"38:Reducer3","585.66","585.73","0.07"
"38:Reducer19","589.35","591.63","2.28"
"38:Reducer20","591.63","591.67","0.04"
"38:Reducer5","591.67","591.68","0.01"
"38:Reducer6","591.68","591.69","0.01"
"39:Map2","591.69","603.87","12.18"
"39:Reducer3","603.87","616.06","12.19"
"39:Reducer4","616.06","616.07","0.01"
"40:Map2","616.07","625.21","9.14"
"40:Reducer3","625.21","625.21","0.0"
"40:Reducer4","625.22","625.24","0.02"
"41:Map18","625.24","625.24","0.0"
"41:Map1","625.24","625.24","0.0"
"41:Map11","625.24","639.02","13.78"
"41:Reducer19","625.25","627.67","2.42"
"41:Reducer2","625.25","629.46","4.21"
"41:Reducer20","627.67","627.67","0.0"
"41:Reducer3","629.46","629.5","0.04"
"41:Reducer12","639.02","643.62","4.6"
"41:Reducer13","643.62","643.62","0.0"
"41:Reducer5","643.63","643.64","0.01"
"41:Reducer6","643.64","643.65","0.01"
"42:Map2","643.65","656.38","12.73"
"42:Reducer3","656.38","669.12","12.74"
"42:Reducer4","669.12","669.14","0.02"
"43:Map1","669.14","669.14","0.0"
"43:Reducer2","669.15","669.48","0.33"
"43:Reducer3","669.48","669.84","0.36"
"43:Reducer4","669.84","669.88","0.04"
"43:Reducer5","669.88","669.9","0.02"
"43:Reducer6","669.9","670.01","0.11"
"43:Reducer7","670.01","670.12","0.11"
"44:Reducer2","670.12","670.88","0.76"
"44:Reducer3","670.88","671.44","0.56"
"44:Reducer4","671.44","672.28","0.84"
"44:Reducer5","672.28","672.29","0.01"
"45:Map1","672.29","672.3","0.01"
"45:Map15","672.29","672.3","0.01"
"45:Map9","672.29","672.3","0.01"
"45:Map17","672.3","674.04","1.74"
"45:Map11","672.3","677.27","4.97"
"45:Map3","672.3","679.25","6.95"
"45:Reducer18","674.04","675.79","1.75"
"45:Reducer12","677.27","680.73","3.46"
"45:Reducer4","679.25","679.25","0.0"
"45:Reducer5","680.73","680.78","0.05"
"45:Reducer6","680.78","680.85","0.07"
"46:Map1","680.85","682.8","1.95"
"46:Map6","680.85","688.47","7.62"
"46:Map8","680.85","689.03","8.18"
"46:Reducer3","689.03","696.96","7.93"
"46:Reducer4","696.96","697.01","0.05"
"47:Map1","697.01","701.75","4.74"
"47:Reducer2","701.75","708.92","7.17"
"47:Reducer3","708.92","709.01","0.09"
"47:Reducer4","709.01","709.07","0.06"
"48:Map11","709.07","715.66","6.59"
"48:Map18","709.07","723.04","13.97"
"48:Map1","709.07","732.31","23.24"
"48:Reducer12","715.66","717.35","1.69"
"48:Reducer13","717.35","717.42","0.07"
"48:Reducer19","723.04","725.31","2.27"
"48:Reducer20","725.31","725.35","0.04"
"48:Reducer2","732.31","735.64","3.33"
"48:Reducer3","735.64","735.64","0.0"
"48:Reducer5","735.65","735.66","0.01"
"48:Reducer6","735.66","735.67","0.01"
"49:Map1","735.67","738.59","2.92"
"49:Map6","735.67","742.07","6.4"
"49:Map8","735.67","742.38","6.71"
"49:Reducer3","742.38","746.95","4.57"
"49:Reducer4","746.95","747.0","0.05"
"50:Map2","747.0","765.27","18.27"
"50:Reducer3","765.27","783.55","18.28"
"50:Reducer4","783.55","783.57","0.02"
"51:Map1","783.57","783.57","0.0"
"51:Reducer2","783.58","792.05","8.47"
"51:Reducer3","792.05","792.58","0.53"
"51:Reducer4","792.58","792.61","0.03"
"51:Reducer5","792.61","792.61","0.0"
"51:Reducer6","792.62","792.79","0.17"
"51:Reducer7","792.79","792.95","0.16"
"52:Map1","792.95","792.95","0.0"
"52:Map10","792.95","792.97","0.02"
"52:Map6","792.95","802.94","9.99"
"52:Reducer2","792.97","793.52","0.55"
"52:Reducer7","802.94","812.65","9.71"
"52:Reducer3","812.65","813.02","0.37"
"52:Reducer4","813.02","813.03","0.01"
"53:Map2","813.03","821.52","8.49"
"53:Reducer3","821.52","830.02","8.5"
"53:Reducer4","830.02","830.04","0.02"
"54:Map23","830.04","830.04","0.0"
"54:Map28","830.04","831.95","1.91"
"54:Map18","830.04","834.82","4.78"
"54:Map13","830.04","840.44","10.4"
"54:Map1","830.04","845.85","15.81"
"54:Map8","830.04","857.57","27.53"
"54:Reducer24","830.05","830.79","0.74"
"54:Reducer25","830.79","830.84","0.05"
"54:Reducer29","831.95","833.03","1.08"
"54:Reducer30","833.03","833.03","0.0"
"54:Reducer19","834.82","836.03","1.21"
"54:Reducer20","836.03","836.08","0.05"
"54:Reducer14","840.44","846.17","5.73"
"54:Reducer2","845.85","851.63","5.78"
"54:Reducer15","846.17","846.3","0.13"
"54:Reducer3","851.63","851.72","0.09"
"54:Reducer9","857.57","863.56","5.99"
"54:Reducer10","863.56","863.93","0.37"
"54:Reducer4","863.93","863.97","0.04"
"54:Reducer5","863.97","863.97","0.0"
"55:Map1","863.98","864.04","0.06"
"55:Reducer2","864.04","864.22","0.18"
"55:Reducer3","864.22","864.23","0.01"
"56:Map8","864.23","870.6","6.37"
"56:Map1","864.23","878.09","13.86"
"56:Reducer9","870.6","883.33","12.73"
"56:Reducer10","883.33","883.34","0.01"
"56:Reducer2","883.34","892.97","9.63"
"56:Reducer3","892.97","895.86","2.89"
"56:Reducer4","895.86","895.96","0.1"
"56:Reducer5","895.96","896.0","0.04"
"57:Map1","896.0","896.0","0.0"
"57:Map8","896.0","901.61","5.61"
"57:Reducer2","896.01","897.55","1.54"
"57:Reducer3","897.55","897.55","0.0"
"57:Reducer9","901.61","908.91","7.3"
"57:Reducer10","908.91","910.72","1.81"
"57:Reducer4","910.72","910.96","0.24"
"57:Reducer5","910.96","911.14","0.18"
"57:Reducer6","911.14","911.14","0.0"
"58:Map1","911.15","927.94","16.79"
"58:Reducer2","927.94","927.95","0.01"
"58:Reducer3","927.95","927.97","0.02"
"58:Reducer4","927.97","928.02","0.05"
"58:Reducer5","928.02","928.05","0.03"
"58:Reducer6","928.05","928.05","0.0"
"59:Map10","928.06","928.06","0.0"
"59:Map1","928.06","931.8","3.74"
"59:Map6","928.06","938.98","10.92"
"59:Reducer2","931.8","934.21","2.41"
"59:Reducer7","938.98","948.69","9.71"
"59:Reducer3","948.69","949.06","0.37"
"59:Reducer4","949.06","949.07","0.01"
"60:Map1","949.07","949.19","0.12"
"60:Reducer2","949.19","949.19","0.0"
"60:Reducer3","949.2","949.21","0.01"
"61:Map1","949.21","960.21","11.0"
"61:Reducer2","960.21","960.21","0.0"
"61:Map6","960.22","960.59","0.37"
"61:Reducer7","960.59","960.96","0.37"
"62:Map11","960.96","965.35","4.39"
"62:Map18","960.96","969.9","8.94"
"62:Map1","960.96","980.32","19.36"
"62:Reducer12","965.35","965.38","0.03"
"62:Reducer13","965.38","965.43","0.05"
"62:Reducer19","969.9","972.17","2.27"
"62:Reducer20","972.17","972.21","0.04"
"62:Reducer2","980.32","983.61","3.29"
"62:Reducer3","983.61","983.68","0.07"
"62:Reducer5","983.68","983.69","0.01"
"62:Reducer6","983.69","983.7","0.01"
"63:Reducer2","983.7","990.43","6.73"
"63:Reducer3","990.43","992.68","2.25"
"63:Reducer4","992.68","994.54","1.86"
"63:Reducer5","994.54","994.55","0.01"
"64:Map10","994.55","994.99","0.44"
"64:Map1","994.55","996.24","1.69"
"64:Reducer3","996.24","998.42","2.18"
"64:Reducer4","998.42","998.49","0.07"
"64:Reducer5","998.49","1005.85","7.36"
"64:Reducer6","1005.85","1007.17","1.32"
"64:Reducer7","1007.17","1007.23","0.06"
"64:Reducer8","1007.23","1007.24","0.01"
"64:Reducer9","1007.24","1007.25","0.01"
"65:Map2","1007.25","1035.73","28.48"
"65:Reducer3","1035.73","1064.21","28.48"
"65:Reducer4","1064.21","1064.22","0.01"
"66:Map15","1064.22","1064.23","0.01"
"66:Map9","1064.22","1064.23","0.01"
"66:Map1","1064.22","1064.24","0.02"
"66:Map17","1064.23","1065.54","1.31"
"66:Map11","1064.23","1068.55","4.32"
"66:Map3","1064.24","1070.4","6.16"
"66:Reducer18","1065.54","1067.29","1.75"
"66:Reducer12","1068.55","1068.55","0.0"
"66:Reducer4","1070.4","1073.23","2.83"
"66:Reducer5","1073.23","1073.28","0.05"
"66:Reducer6","1073.28","1073.32","0.04"
"67:Map18","1073.32","1073.32","0.0"
"67:Map28","1073.32","1073.32","0.0"
"67:Map23","1073.32","1073.32","0.0"
"67:Map1","1073.32","1081.96","8.64"
"67:Map8","1073.32","1092.12","18.8"
"67:Map13","1073.32","1093.23","19.91"
"67:Reducer24","1073.33","1074.07","0.74"
"67:Reducer19","1073.33","1074.94","1.61"
"67:Reducer29","1073.33","1075.2","1.87"
"67:Reducer25","1074.07","1074.12","0.05"
"67:Reducer20","1074.94","1074.99","0.05"
"67:Reducer30","1075.2","1075.2","0.0"
"67:Reducer2","1081.96","1087.58","5.62"
"67:Reducer3","1087.58","1087.71","0.13"
"67:Reducer9","1092.12","1099.21","7.09"
"67:Reducer14","1093.23","1093.23","0.0"
"67:Reducer15","1093.24","1093.37","0.13"
"67:Reducer10","1099.21","1099.76","0.55"
"67:Reducer4","1099.76","1099.78","0.02"
"67:Reducer5","1099.78","1099.83","0.05"
"68:Map1","1099.83","1105.96","6.13"
"68:Reducer2","1105.96","1112.09","6.13"
"68:Map6","1112.09","1112.26","0.17"
"68:Reducer7","1112.26","1112.43","0.17"
"69:Map2","1112.43","1118.69","6.26"
"69:Reducer3","1118.69","1124.95","6.26"
"69:Reducer4","1124.95","1124.96","0.01"
"69:Reducer5","1124.96","1124.96","0.0"
"69:Reducer6","1124.97","1124.97","0.0"
"70:Map1","1124.98","1126.17","1.19"
"70:Map8","1124.98","1127.75","2.77"
"70:Map13","1124.98","1130.15","5.17"
"70:Reducer2","1126.17","1127.56","1.39"
"70:Reducer3","1127.56","1128.73","1.17"
"70:Reducer9","1127.75","1127.98","0.23"
"70:Reducer10","1127.98","1127.98","0.0"
"70:Reducer14","1130.15","1132.07","1.92"
"70:Reducer15","1132.07","1132.37","0.3"
"70:Reducer4","1132.37","1132.45","0.08"
"70:Reducer5","1132.45","1132.63","0.18"
"71:Reducer2","1132.63","1134.64","2.01"
"71:Reducer3","1134.64","1135.47","0.83"
"71:Reducer4","1135.47","1136.85","1.38"
"71:Reducer5","1136.85","1136.87","0.02"
"72:Map1","1136.87","1138.24","1.37"
"72:Reducer2","1138.24","1142.33","4.09"
"72:Map6","1142.33","1142.5","0.17"
"72:Reducer7","1142.5","1142.67","0.17"
"73:Map10","1142.67","1143.33","0.66"
"73:Map1","1142.67","1145.7","3.03"
"73:Reducer3","1145.7","1147.16","1.46"
"73:Reducer4","1147.16","1147.23","0.07"
"73:Reducer5","1147.23","1154.59","7.36"
"73:Reducer6","1154.59","1156.6","2.01"
"73:Reducer7","1156.6","1156.68","0.08"
"73:Reducer8","1156.68","1156.69","0.01"
"73:Reducer9","1156.69","1156.7","0.01"
"74:Map2","1156.7","1169.43","12.73"
"74:Reducer3","1169.43","1182.17","12.74"
"74:Reducer4","1182.17","1182.18","0.01"
"75:Map2","1182.18","1188.55","6.37"
"75:Reducer3","1188.55","1188.55","0.0"
"75:Reducer4","1188.56","1188.56","0.0"
"76:Map1","1188.57","1188.8","0.23"
"76:Reducer2","1188.8","1188.8","0.0"
"76:Reducer3","1188.81","1189.14","0.33"
"77:Map10","1189.14","1189.58","0.44"
"77:Map1","1189.14","1194.32","5.18"
"77:Reducer3","1194.32","1196.03","1.71"
"77:Reducer4","1196.03","1196.1","0.07"
"77:Reducer5","1196.1","1201.62","5.52"
"77:Reducer6","1201.62","1202.96","1.34"
"77:Reducer7","1202.96","1202.96","0.0"
"77:Reducer8","1202.97","1202.98","0.01"
"77:Reducer9","1202.98","1202.99","0.01"
"78:Reducer2","1202.99","1205.7","2.71"
"78:Reducer3","1205.7","1207.71","2.01"
"78:Reducer4","1207.71","1208.96","1.25"
"78:Reducer5","1208.96","1208.96","0.0"
"79:Reducer2","1208.97","1212.9","3.93"
"79:Reducer3","1212.9","1219.35","6.45"
"79:Reducer4","1219.35","1219.36","0.01"
"80:Map1","1219.36","1222.52","3.16"
"80:Reducer2","1222.52","1229.69","7.17"
"80:Reducer3","1229.69","1229.75","0.06"
"80:Reducer4","1229.75","1229.79","0.04"
"81:Map2","1229.79","1238.93","9.14"
"81:Reducer3","1238.93","1257.21","18.28"
"81:Reducer4","1257.21","1257.22","0.01"
"82:Map13","1257.22","1257.22","0.0"
"82:Map8","1257.22","1257.22","0.0"
"82:Map18","1257.22","1258.81","1.59"
"82:Map28","1257.22","1260.14","2.92"
"82:Map23","1257.22","1261.72","4.5"
"82:Map1","1257.22","1278.78","21.56"
"82:Reducer9","1257.23","1266.0","8.77"
"82:Reducer14","1257.23","1271.4","14.17"
"82:Reducer19","1258.81","1258.83","0.02"
"82:Reducer20","1258.83","1258.88","0.05"
"82:Reducer29","1260.14","1261.24","1.1"
"82:Reducer30","1261.24","1261.29","0.05"
"82:Reducer24","1261.72","1262.8","1.08"
"82:Reducer25","1262.8","1262.85","0.05"
"82:Reducer10","1266.0","1266.55","0.55"
"82:Reducer15","1271.4","1271.53","0.13"
"82:Reducer2","1278.78","1282.53","3.75"
"82:Reducer3","1282.53","1282.62","0.09"
"82:Reducer4","1282.62","1282.65","0.03"
"82:Reducer5","1282.65","1282.68","0.03"
"83:Map2","1282.68","1282.68","0.0"
"83:Reducer3","1282.69","1286.87","4.18"
"83:Reducer4","1286.87","1286.88","0.01"
"83:Reducer5","1286.88","1286.89","0.01"
"83:Reducer6","1286.89","1286.9","0.01"
"84:Map2","1286.9","1296.04","9.14"
"84:Reducer3","1296.04","1314.32","18.28"
"84:Reducer4","1314.32","1314.34","0.02"
"85:Map1","1314.34","1314.34","0.0"
"85:Map18","1314.34","1323.29","8.95"
"85:Map11","1314.34","1330.27","15.93"
"85:Reducer2","1314.35","1317.76","3.41"
"85:Reducer3","1317.76","1317.76","0.0"
"85:Reducer19","1323.29","1325.71","2.42"
