"CoflowID","StartTime","EndTime","CoflowCompletionTime"
"0:Reducer6","0.0","5.94","5.94"
"0:Reducer2","0.0","9.06","9.06"
"0:Reducer7","5.94","5.94","0.0"
"0:Reducer3","9.06","9.16","0.1"
"0:Reducer4","9.16","9.3","0.14"
"1:Map2","9.3","9.31","0.01"
"1:Reducer14","9.3","14.55","5.25"
"1:Reducer12","9.3","19.36","10.06"
"1:Reducer3","9.31","20.43","11.12"
"1:Reducer4","20.43","21.8","1.37"
"1:Reducer5","21.8","25.06","3.26"
"1:Reducer6","25.06","26.17","1.11"
"1:Reducer7","26.17","27.95","1.78"
"1:Reducer8","27.95","27.98","0.03"
"2:Map2","27.98","27.98","0.0"
"2:Reducer14","27.98","34.96","6.98"
"2:Reducer12","27.98","47.1","19.12"
"2:Reducer3","27.99","39.35","11.36"
"2:Reducer4","39.35","41.4","2.05"
"2:Reducer5","47.1","50.36","3.26"
"2:Reducer6","50.36","53.16","2.8"
"2:Reducer7","53.16","54.94","1.78"
"2:Reducer8","54.94","54.97","0.03"
"3:Reducer2","54.97","75.19","20.22"
"3:Reducer3","75.19","86.25","11.06"
"3:Reducer4","86.25","109.08","22.83"
"3:Reducer5","109.08","109.08","0.0"
"3:Reducer6","109.09","109.1","0.01"
"4:Reducer2","109.1","115.74","6.64"
"4:Reducer3","115.74","115.76","0.02"
"5:Reducer2","115.76","116.15","0.39"
"5:Reducer3","116.15","123.63","7.48"
"5:Reducer4","123.63","128.18","4.55"
"5:Reducer5","128.18","128.65","0.47"
"6:Reducer2","128.65","129.38","0.73"
"6:Reducer3","129.38","132.65","3.27"
"6:Reducer4","132.65","134.62","1.97"
"6:Reducer5","134.62","134.67","0.05"
"7:Reducer2","134.67","138.51","3.84"
"8:Reducer8","138.51","139.13","0.62"
"8:Reducer2","138.51","140.86","2.35"
"8:Reducer9","139.13","139.63","0.5"
"8:Reducer10","139.63","139.66","0.03"
"8:Reducer3","140.86","142.39","1.53"
"8:Reducer4","142.39","142.44","0.05"
"9:Reducer2","142.44","143.33","0.89"
"9:Reducer3","143.33","147.18","3.85"
"9:Reducer4","147.18","149.15","1.97"
"9:Reducer5","149.15","149.15","0.0"
"10:Map2","149.16","149.17","0.01"
"10:Reducer12","149.16","154.64","5.48"
"10:Reducer14","149.16","158.44","9.28"
"10:Reducer3","149.17","163.15","13.98"
"10:Reducer4","163.15","166.08","2.93"
"10:Reducer5","166.08","169.25","3.17"
"10:Reducer6","169.25","171.35","2.1"
"10:Reducer7","171.35","172.68","1.33"
"10:Reducer8","172.68","172.7","0.02"
"11:Reducer2","172.7","173.29","0.59"
"11:Reducer3","173.29","178.78","5.49"
"11:Reducer4","178.78","181.41","2.63"
"11:Reducer5","181.41","181.46","0.05"
"12:Reducer2","181.46","184.02","2.56"
"13:Reducer8","184.02","184.07","0.05"
"13:Reducer2","184.02","184.41","0.39"
"13:Reducer3","184.41","184.64","0.23"
"13:Reducer4","184.64","184.71","0.07"
"13:Reducer5","184.71","184.72","0.01"
"14:Reducer8","184.72","185.2","0.48"
"14:Reducer2","184.72","186.59","1.87"
"14:Reducer9","185.2","185.2","0.0"
"14:Reducer10","185.21","185.24","0.03"
"14:Reducer3","186.59","188.08","1.49"
"14:Reducer4","188.08","188.13","0.05"
"15:Reducer2","188.13","203.2","15.07"
"15:Reducer3","203.2","214.26","11.06"
"15:Reducer4","214.26","228.09","13.83"
"15:Reducer5","228.09","250.48","22.39"
"15:Reducer6","250.48","250.49","0.01"
"16:Reducer2","250.49","252.2","1.71"
"17:Reducer2","252.2","256.38","4.18"
"17:Reducer3","256.38","256.38","0.0"
"17:Reducer4","256.39","256.4","0.01"
"18:Reducer2","256.4","261.17","4.77"
"18:Reducer7","256.4","266.28","9.88"
"18:Reducer3","266.28","268.75","2.47"
"18:Reducer4","268.75","268.88","0.13"
"19:Reducer2","268.88","278.83","9.95"
"19:Reducer3","278.83","278.86","0.03"
"20:Reducer2","278.86","285.75","6.89"
"20:Reducer7","278.86","291.91","13.05"
"20:Reducer3","291.91","294.01","2.1"
"20:Reducer4","294.01","294.14","0.13"
"21:Reducer2","294.14","298.79","4.65"
"21:Reducer3","298.79","299.25","0.46"
"22:Map2","299.25","299.26","0.01"
"22:Reducer12","299.25","307.46","8.21"
"22:Reducer14","299.25","321.26","22.01"
"22:Reducer3","299.26","307.77","8.51"
"22:Reducer4","307.77","308.66","0.89"
"22:Reducer5","308.66","313.33","4.67"
"22:Reducer6","321.26","323.7","2.44"
"22:Reducer7","323.7","325.03","1.33"
"22:Reducer8","325.03","325.04","0.01"
"23:Map11","325.04","325.05","0.01"
"23:Reducer2","325.04","325.09","0.05"
"23:Reducer9","325.04","330.37","5.33"
"23:Reducer3","325.09","325.64","0.55"
"23:Reducer4","330.37","331.62","1.25"
"23:Reducer5","331.62","333.44","1.82"
"23:Reducer6","333.44","333.45","0.01"
"23:Reducer7","333.45","333.45","0.0"
"24:Reducer2","333.46","338.37","4.91"
